rate,Counsillor Name,HOOD,id
.05,Vincent Crisanti,ETOBICOKE NORTH,1
.05,Rob Ford,ETOBICOKE NORTH,2
1.05,Stephen Holyday,Etobicoke Center,3
1.05,John Campbell,Etobicoke Center,4
1.05,Justin J. Di Ciano,ETOBICOKE-LAKESHORE,5
.05,Mark Grimes,ETOBICOKE-LAKESHORE,6
.05,Giorgio Mammoliti,YORK WEST,7
.05,Anthony Perruzza,YORK WEST,8
1.05,Maria Augimeri,YORK CENTRE,9
.05,James Pasternak,YORK CENTRE,10
1.05,Frances Nunziata,YORK SOUTH-WESTON,11
.05,Frank Di Giorgio,YORK SOUTH-WESTON,12
1.05,Sarah Doucette,PARKDALE-HIGH PARK,13
1.05,Gord Perks,PARKDALE-HIGH PARK ,14
1.05,Josh Colle,EGLINGTON-LAWRENCE ,15
1.05,Christin Carmichael Greb,EGLINGTON-LAWRENCE,16
.05,Cesar Palacio,DAVENPORT,17
1.05,Ana Bail‹o,DAVENPORT,18
1.05,Mike Layton,TRINITY-SPADINA,19
1.05,Joe Cressy,TRINITY-SPADINA,20
1.05,Joe Mihevc,ST. PAUL'S,21
1.05,Josh Matlow,ST. PAUL'S,22
1.05,John Filion,WILLOWDALE,23
1.05,David Shiner,WILLOWDALE,24
1.05,Jaye Robinson,DON VALLEY WEST,25
1.05,Jon Burnside ,DON VALLEY WEST,26
1.05,Kristyn Wong-Tam,TORONTO CENTRE-ROSEDALE,27
1.05,Pam McConnell,TORONTO CENTRE-ROSEDALE,28
1.05,Mary Fragedakis,TORONTO-DANFORTH,29
1.05,Paula Fletcher,TORONTO-DANFORTH ,30
1.05,Janet Davis,BEACHES-EAST YORK ,31
1.05,Mary-Margaret McMahon,BEACHES-EAST YORK ,32
1.05,Shelley Carrol,DON VALLEY EAST,33
N/A,Denzil Minnan-Wong,DON VALLEY EAST,34
.05,Michelle Berardinetti,SCARBOROUGH SOUTHWEST,35
1.05,Gary Crawford,SCARBOROUGH SOUTHWEST,36
1.05,Michael Thompson ,SCARBOROUGH CENTRE,37
.05,Glenn De Baeremaeker,SCARBOROUGH CENTRE,38
1.05,Norman Kelly,SCARBOROUGH-AGINCOURT,39
.05,Jim Karygiannis,SCARBOROUGH-AGINCOURT,39
1.05,Chin Lee,SCARBOROUGH-ROUGE RIVER ,41
.05,Raymond Cho,SCARBOROUGH-ROUGE RIVER,42
1.05,Paul Ainslie,SCARBOROUGH EAST,43
1.05,Ron Moeser,SCARBOROUGH EAST,44
